i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
1 1.13817 0 2.0042 0.0204 0.0005 0.562 1.2383 0.0818 0.0237 0.0112
2 1.14241 0 1.9807 0.0126 0.0004 0.5492 1.2453 0.0695 0.0203 0.014
3 1.18728 0 1.9431 0.0125 0.0004 0.541 1.225 0.0688 0.021 0.0113
4 1.14354 0 1.9607 0.0126 0.0005 0.543 1.2274 0.0768 0.0238 0.0114
5 1.15523 0 1.965 0.0126 0.0004 0.5408 1.2405 0.0717 0.0231 0.0114
6 1.17969 0 1.9913 0.0159 0.0005 0.5453 1.2522 0.0765 0.0232 0.0113
7 1.16524 0 1.9841 0.0127 0.0004 0.5553 1.2418 0.0734 0.0228 0.0114
8 1.13018 0 1.9535 0.0126 0.0003 0.5441 1.228 0.0709 0.0221 0.0113
9 1.14679 0 1.968 0.0125 0.0004 0.5462 1.2313 0.0765 0.0232 0.0113
10 1.13083 0 1.9713 0.0125 0.0004 0.544 1.2339 0.0776 0.0247 0.0116
11 1.16188 0 1.9757 0.0127 0.0004 0.5434 1.2447 0.0724 0.0213 0.0114
12 1.13673 0 1.969 0.0126 0.0008 0.5554 1.2292 0.0729 0.0217 0.0114
13 1.11681 0 1.9594 0.0127 0.0006 0.5416 1.2447 0.0651 0.0202 0.0113
14 1.19749 0 1.9531 0.0126 0.0004 0.5409 1.2279 0.0727 0.0215 0.0113
15 1.16854 0 1.9489 0.0129 0.0003 0.5416 1.228 0.0703 0.0213 0.0114
16 1.16661 0 1.9348 0.0127 0.0004 0.5415 1.2256 0.0626 0.0189 0.0113
17 1.18136 0 1.9615 0.0125 0.0004 0.5429 1.2319 0.0729 0.023 0.0114
18 1.16192 0 1.955 0.0125 0.0003 0.5433 1.231 0.0702 0.0215 0.0114
19 1.13459 0 1.9379 0.0125 0.0003 0.5427 1.2243 0.0643 0.02 0.0115
20 1.16054 0 1.9797 0.0126 0.0003 0.5509 1.238 0.0736 0.0232 0.0113
21 1.13339 0 1.9886 0.0127 0.0005 0.5425 1.2606 0.0734 0.0227 0.0113
22 1.13824 0 1.9425 0.013 0.0006 0.5446 1.2201 0.0667 0.021 0.0113
