i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
1 1.11235 0 5.10259 0.848896 0.66048 0.0512 0.04096 0.037888 0.034816 0.034816
2 1.18447 0 0.82944 0.052224 0.067584 0.038912 0.039936 0.036864 0.031744 0.032768
3 1.1893 0 0.861184 0.053248 0.043008 0.039936 0.04096 0.036864 0.034816 0.034816
4 1.14569 0 0.799744 0.04608 0.03584 0.037888 0.037888 0.036864 0.032768 0.033792
5 1.15936 0 0.786432 0.045056 0.03584 0.036864 0.038912 0.03584 0.032768 0.033792
6 1.14316 0 0.784384 0.044032 0.03584 0.037888 0.039936 0.037888 0.032768 0.031744
7 1.14721 0 0.780288 0.04608 0.03584 0.037888 0.038912 0.03584 0.032768 0.032768
8 1.14669 0 0.784384 0.045056 0.03584 0.036864 0.037888 0.03584 0.032768 0.032768
9 1.13422 0 0.896 0.045056 0.03584 0.037888 0.038912 0.034816 0.03072 0.036864
10 1.10287 0 0.77312 0.044032 0.036864 0.036864 0.038912 0.034816 0.032768 0.033792
11 1.15725 0 0.792576 0.045056 0.034816 0.037888 0.038912 0.03584 0.032768 0.032768
12 1.12065 0 0.81408 0.04608 0.034816 0.038912 0.039936 0.03584 0.032768 0.032768
13 1.11415 0 0.898048 0.045056 0.034816 0.03584 0.039936 0.03584 0.032768 0.029696
14 1.0871 0 1.49504 0.045056 0.038912 0.038912 0.039936 0.034816 0.033792 0.033792
15 1.1199 0 0.784384 0.047104 0.03584 0.036864 0.038912 0.036864 0.031744 0.033792
16 1.14518 0 0.774144 0.054272 0.037888 0.039936 0.04096 0.038912 0.034816 0.034816
17 1.1055 0 0.806912 0.04608 0.036864 0.037888 0.038912 0.03584 0.032768 0.032768
18 1.15103 0 0.813056 0.045056 0.03584 0.037888 0.038912 0.03584 0.032768 0.033792
19 1.1286 0 0.792576 0.045056 0.036864 0.038912 0.038912 0.036864 0.032768 0.033792
20 1.15841 0 0.781312 0.045056 0.03584 0.037888 0.038912 0.034816 0.032768 0.033792
21 1.07031 0 0.838656 0.04608 0.034816 0.038912 0.038912 0.036864 0.032768 0.032768
22 1.16127 0 0.86528 0.04608 0.039936 0.037888 0.039936 0.03584 0.032768 0.033792
23 1.12944 0 0.777216 0.045056 0.034816 0.037888 0.039936 0.03584 0.032768 0.032768
24 1.13526 0 0.846848 0.045056 0.03584 0.088064 0.038912 0.036864 0.032768 0.032768
