i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
1 1.16584 0 12.7503 0.008224 0.006144 0.00512 0.006144 0.004192 0.006208 0.004096
2 1.16225 0 5.0242 0.008192 0.006112 0.00592 0.006112 0.006144 0.004128 0.004096
3 1.17663 0 4.8183 0.007168 0.006048 0.005984 0.00608 0.006144 0.006016 0.004192
4 1.10417 0 4.8838 0.006144 0.006144 0.005312 0.006144 0.006144 0.006144 0.004352
5 1.12948 0 4.7599 0.008192 0.00608 0.00592 0.006208 0.006144 0.007008 0.00512
6 1.10632 0 4.7952 0.008192 0.006144 0.00512 0.006144 0.006144 0.006144 0.004256
7 1.1699 0 4.8005 0.006144 0.00608 0.005984 0.006144 0.006144 0.006112 0.004896
8 1.13815 0 4.5728 0.006944 0.006144 0.00528 0.006144 0.006144 0.006144 0.004096
9 1.11369 0 4.7375 0.008096 0.006144 0.005152 0.006144 0.006144 0.004288 0.004896
10 1.19394 0 4.829 0.007168 0.006144 0.00608 0.006144 0.006144 0.006144 0.004096
11 1.10003 0 4.7279 0.006144 0.006912 0.005312 0.006144 0.005152 0.004096 0.004096
12 1.14376 0 4.8482 0.008192 0.006144 0.006016 0.006048 0.00512 0.006144 0.004864
13 1.1568 0 4.8762 0.006144 0.006144 0.00512 0.006144 0.006144 0.006048 0.004096
14 1.08395 0 4.7401 0.007168 0.005312 0.006144 0.006144 0.005216 0.006144 0.004096
15 1.04462 0 4.6602 0.006144 0.00608 0.005184 0.006048 0.00512 0.006048 0.004096
16 1.14522 0 5.0193 0.007168 0.006144 0.006048 0.006048 0.005216 0.006144 0.00496
17 1.18682 0 4.818 0.006144 0.006112 0.006144 0.006144 0.006144 0.006144 0.004096
18 1.11118 0 5.9635 0.008192 0.006144 0.005216 0.00608 0.006144 0.006112 0.004096
19 1.12466 0 5.2118 0.006144 0.006144 0.005216 0.006112 0.006144 0.006144 0.004096
20 1.14015 0 5.2804 0.007424 0.005408 0.006144 0.006144 0.005184 0.00512 0.004096
21 1.15793 0 5.0333 0.008192 0.006144 0.006144 0.006144 0.005376 0.006144 0.004096
22 1.14535 0 5.1879 0.007136 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096
23 1.12265 0 4.7197 0.007168 0.006144 0.005184 0.006208 0.005312 0.006144 0.004096
24 1.15434 0 4.83 0.008192 0.00512 0.005888 0.006144 0.00512 0.006112 0.004288
25 1.15073 0 4.8871 0.007168 0.005344 0.00608 0.006144 0.005248 0.004128 0.004096
26 1.1389 0 4.8716 0.007072 0.006112 0.00512 0.006144 0.006144 0.006144 0.004096
27 1.14043 0 4.8837 0.007424 0.006112 0.006144 0.005984 0.006144 0.006144 0.004096
28 1.14247 0 4.879 0.006144 0.00512 0.005984 0.006144 0.006144 0.005376 0.004128
29 1.16146 0 4.9336 0.006944 0.006144 0.00512 0.00624 0.005216 0.006144 0.004096
30 1.17661 0 4.9116 0.006144 0.006144 0.00592 0.006048 0.00512 0.006144 0.006144
31 1.12178 0 4.635 0.00816 0.006144 0.006144 0.006144 0.006144 0.006048 0.004096
32 1.12334 0 4.6835 0.00816 0.006144 0.006048 0.006144 0.006144 0.006144 0.004096
33 1.19623 0 4.9754 0.00816 0.006144 0.006144 0.006144 0.006144 0.00496 0.003904
34 1.14855 0 4.7655 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096 0.004288
35 1.14237 0 4.8909 0.007168 0.005344 0.005184 0.006144 0.00528 0.006144 0.004096
36 1.16986 0 5.031 0.006144 0.006144 0.00528 0.005408 0.00512 0.006144 0.004096
37 1.12046 0 4.8376 0.006144 0.006144 0.005184 0.006144 0.006144 0.006144 0.004096
38 1.13748 0 4.8273 0.00816 0.006144 0.00528 0.006112 0.005376 0.005344 0.004096
39 1.19648 0 4.898 0.008192 0.006144 0.005184 0.006112 0.00512 0.00608 0.004096
40 1.18366 0 4.7407 0.006144 0.006144 0.005888 0.006144 0.005376 0.006144 0.004928
41 1.18042 0 4.791 0.006144 0.006016 0.00608 0.006144 0.00512 0.006144 0.004288
42 1.15626 0 4.8789 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.004864
43 1.13647 0 4.8871 0.008192 0.006144 0.00592 0.00608 0.00512 0.004288 0.004928
44 1.1633 0 4.774 0.008192 0.006048 0.00592 0.006144 0.006144 0.00608 0.004096
45 1.10278 0 4.7419 0.008192 0.005312 0.00512 0.006144 0.00512 0.006144 0.004096
46 1.1429 0 4.6627 0.007072 0.006144 0.006048 0.006144 0.005216 0.006144 0.004896
47 1.16356 0 4.7463 0.008192 0.006144 0.006144 0.00608 0.00512 0.00512 0.004096
48 1.13728 0 4.8383 0.007168 0.006144 0.00608 0.006144 0.00512 0.006144 0.004096
49 1.13994 0 4.7674 0.007136 0.006016 0.006144 0.006144 0.005216 0.00416 0.004096
50 1.08991 0 4.7351 0.008192 0.006144 0.006144 0.006048 0.006144 0.006112 0.004224
51 1.09964 0 4.5771 0.008192 0.006048 0.006144 0.006016 0.00512 0.006144 0.004096
52 1.11631 0 4.8288 0.008192 0.006144 0.005312 0.00608 0.006144 0.006144 0.004096
53 1.10638 0 5.0328 0.006144 0.006144 0.006144 0.006112 0.005152 0.006144 0.00512
54 1.11409 0 4.8975 0.008096 0.006144 0.006144 0.006144 0.00512 0.005408 0.004864
55 1.12221 0 4.7094 0.007424 0.006144 0.00512 0.006144 0.005248 0.006016 0.004096
56 1.10989 0 4.7097 0.008192 0.006144 0.005216 0.006144 0.005184 0.006112 0.004096
57 1.13443 0 5.0613 0.007168 0.006144 0.006144 0.006144 0.006144 0.006144 0.004096
58 1.13352 0 5.0558 0.00816 0.005344 0.005984 0.006144 0.006144 0.006144 0.004096
59 1.18737 0 5.1948 0.006144 0.006144 0.005184 0.006912 0.005152 0.006144 0.004096
60 1.12972 0 5.044 0.007008 0.006144 0.005984 0.00608 0.00512 0.006144 0.005312
61 1.09732 0 4.9004 0.006144 0.006112 0.00512 0.006048 0.006144 0.006144 0.005888
62 1.18969 0 4.7348 0.008192 0.004288 0.006144 0.00608 0.00512 0.006144 0.004096
63 1.2001 0 5.1208 0.008192 0.006144 0.006144 0.006144 0.006144 0.006144 0.004288
64 1.12242 0 5.0649 0.008192 0.005344 0.006144 0.00608 0.005184 0.006144 0.004992
65 1.14664 0 4.6986 0.008192 0.006144 0.006144 0.00624 0.005344 0.006144 0.004896
66 1.11364 0 5.4226 0.007168 0.006144 0.005984 0.006144 0.00512 0.006144 0.00416
67 1.15932 0 5.1296 0.00816 0.006144 0.005376 0.006048 0.006144 0.006144 0.004096
68 1.13062 0 5.5812 0.008192 0.006336 0.007136 0.00512 0.006144 0.006144 0.004096
69 1.14885 0 5.1594 0.00912 0.006144 0.00512 0.006144 0.005248 0.006144 0.004032
70 1.11605 0 4.9845 0.007168 0.006144 0.00512 0.006208 0.006144 0.006976 0.004096
71 1.13481 0 4.8091 0.006144 0.006144 0.00528 0.006144 0.00512 0.006144 0.004096
